process,name,dim,vgrid,state,output,output_level,units,long,file
anthropogenic_lcc,cf_target_year,3D,pft_vgrid,diagnostic,yes,,,Target cover fractions read from forcing.,mo_alcc_memory_class.f90
anthropogenic_lcc,cf_delta,3D,pft_vgrid,prognostic,yes,FULL,,Change in cover fractions (daily or annually).,mo_alcc_memory_class.f90
assimilation,gross_assimilation_ca,2D,surface,diagnostic,yes,FULL,,,mo_assimi_memory_class.f90
assimilation,gross_assimilation,2D,surface,diagnostic,yes,BASIC,mol(CO2)/m^2 (tile area) / s,Gross photosynthesis on tile area,mo_assimi_memory_class.f90
assimilation,dark_respiration_ca,2D,surface,diagnostic,yes,FULL,mol(CO2)/m^2(canopy ground) / s,Dark_respiration on canopy ground area,mo_assimi_memory_class.f90
assimilation,dark_respiration,2D,surface,diagnostic,yes,BASIC,mol(CO2)/m^2 (tile area) / s,Dark_respiration on tile area,mo_assimi_memory_class.f90
assimilation,npp_pot_rate_ca,2D,surface,prognostic,yes,FULL,mol(CO2)/(m^2 (canopy ground) / s),NPP_pot_rate_ca,mo_assimi_memory_class.f90
assimilation,npp_sum_year,2D,surface,prognostic,yes,,mol(CO2)/(m^2 (canopy ground) / s),NPP_sum_year,mo_assimi_memory_class.f90
assimilation,npp_mean_5year,2D,surface,prognostic,yes,MEDIUM,mol(CO2)/(m^2 (canopy ground) / s),NPP_mean_5year,mo_assimi_memory_class.f90
assimilation,land_cover_class,2D,surface,prognostic,yes,,,land_cover_class,mo_assimi_memory_class.f90
assimilation,bclimit_min_cold_mmtemp,2D,surface,diagnostic,yes,MEDIUM,,bclimit_min_cold_mmtemp,mo_assimi_memory_class.f90
assimilation,bclimit_max_cold_mmtemp,2D,surface,diagnostic,yes,MEDIUM,,bclimit_max_cold_mmtemp,mo_assimi_memory_class.f90
assimilation,bclimit_max_warm_mmtemp,2D,surface,diagnostic,yes,MEDIUM,,bclimit_max_warm_mmtemp,mo_assimi_memory_class.f90
assimilation,bclimit_min_temprange,2D,surface,diagnostic,yes,MEDIUM,,bclimit_min_temprange,mo_assimi_memory_class.f90
assimilation,bclimit_min_gdd,2D,surface,diagnostic,yes,MEDIUM,,bclimit_min_gdd,mo_assimi_memory_class.f90
assimilation,tau_c_woods,2D,surface,diagnostic,yes,,,tau_c_woods,mo_assimi_memory_class.f90
assimilation,scaling_fact_cl,3D,canopy_layer,diagnostic,yes,,-,assimilation scaling factors per canopy layer,mo_assimi_memory_class.f90
assimilation,canopy_cond_cl,3D,canopy_layer,diagnostic,yes,,-,Canopy cond. per canopy layer and per leaf area,mo_assimi_memory_class.f90
assimilation,gross_assimilation_cl,3D,canopy_layer,diagnostic,yes,,mol(CO2)/m^2(leaf area) / s,Gross photosynthesis per canopy layer on leaf area,mo_assimi_memory_class.f90
assimilation,dark_respiration_cl,3D,canopy_layer,diagnostic,yes,,mol(CO2)/m^2(leaf area) / s,Dark respiration of leaf per canopy layer on leaf area,mo_assimi_memory_class.f90
assimilation,carbox_rate_max_cl,3D,canopy_layer,diagnostic,yes,,mol(CO2)/m^2(leaf area) / s,Maximum carboxylation rate per canopy layer,mo_assimi_memory_class.f90
assimilation,e_transport_rate_max_cl,3D,canopy_layer,diagnostic,yes,,dimensionen,Maximum electron transport rate per canopy layer,mo_assimi_memory_class.f90
assimilation,carbox_rate_cl,3D,canopy_layer,diagnostic,yes,,mol(CO2)/m^2(leaf area) / s,Actual carboxylation rate per canopy layer,mo_assimi_memory_class.f90
assimilation,e_transport_rate_cl,3D,canopy_layer,diagnostic,yes,,mol(CO2)/m^2(leaf area) / s,Actual electron transport rate per canopy layer,mo_assimi_memory_class.f90
assimilation,co2_conc_leaf_cl,3D,canopy_layer,diagnostic,yes,,dimensionen,CO2 concentration inside leaf per canopy layer,mo_assimi_memory_class.f90
assimilation,canopy_cond_unlimited,2D,surface,diagnostic,yes,,,,mo_assimi_memory_class.f90
assimilation,canopy_cond_limited,2D,surface,diagnostic,yes,,,,mo_assimi_memory_class.f90
assimilation,cover_fract_pot,2D,surface,diagnostic,yes,,fract,,mo_assimi_memory_class.f90
atmland,DEBUG_VAR,2D,surface,diagnostic,yes,,,,mo_atm2land_memory_class.f90
atmland,co2_air,2D,surface,diagnostic,yes,,[kg(CO2)/kg(air)],CO2 mass mixing ratio of lowest atmosphere level,mo_atm2land_memory_class.f90
atmland,co2_air_mol,2D,surface,diagnostic,yes,BASIC,[mol(CO2)/mol(air)],CO2 mol mixing ratio of lowest atmosphere level,mo_atm2land_memory_class.f90
atmland,co2_mixing_ratio,2D,surface,prognostic,yes,FULL,ppm,surface air co2 mixing ratio,mo_atm2land_memory_class.f90
atmland,co2_mixing_ratio_c13,2D,surface,prognostic,yes,FULL,ppm,surface air 13co2 mixing ratio,mo_atm2land_memory_class.f90
atmland,co2_mixing_ratio_C14,2D,surface,prognostic,yes,FULL,scaled,surface air 14co2 mixing ratio,mo_atm2land_memory_class.f90
atmland,t_air,2D,surface,diagnostic,yes,BASIC,K,,mo_atm2land_memory_class.f90
atmland,q_air,2D,surface,diagnostic,yes,BASIC,kg kg-1,Specific humidity of air at surface.,mo_atm2land_memory_class.f90
atmland,rain,2D,surface,diagnostic,yes,BASIC,kg/m2/s,,mo_atm2land_memory_class.f90
atmland,snow,2D,surface,diagnostic,yes,BASIC,kg/m2/s,,mo_atm2land_memory_class.f90
atmland,wind_air,2D,surface,diagnostic,yes,BASIC,m/s,,mo_atm2land_memory_class.f90
atmland,wind_10m,2D,surface,diagnostic,yes,BASIC,m/s,,mo_atm2land_memory_class.f90
atmland,lw_srf_down,2D,surface,diagnostic,yes,BASIC,W/m2,,mo_atm2land_memory_class.f90
atmland,swvis_srf_down,2D,surface,diagnostic,yes,BASIC,W/m2,,mo_atm2land_memory_class.f90
atmland,swnir_srf_down,2D,surface,diagnostic,yes,BASIC,W/m2,,mo_atm2land_memory_class.f90
atmland,swpar_srf_down,2D,surface,diagnostic,yes,BASIC,W/m2,,mo_atm2land_memory_class.f90
atmland,fract_par_diffuse,2D,surface,diagnostic,yes,BASIC,,,mo_atm2land_memory_class.f90
atmland,press_srf,2D,surface,diagnostic,yes,,N/m2,,mo_atm2land_memory_class.f90
atmland,press_air,2D,surface,diagnostic,yes,BASIC,N m-2,Pressure at lowest level,mo_atm2land_memory_class.f90
atmland,dz_srf,2D,surface,diagnostic,yes,FULL,m,,mo_atm2land_memory_class.f90
atmland,rho_srf,2D,surface,diagnostic,yes,BASIC,,,mo_atm2land_memory_class.f90
atmland,drag_srf,2D,surface,conditional,yes,FULL,,,mo_atm2land_memory_class.f90
atmland,pch,2D,surface,diagnostic,yes,,,,mo_atm2land_memory_class.f90
atmland,t_acoef,2D,surface,diagnostic,yes,,,,mo_atm2land_memory_class.f90
atmland,t_bcoef,2D,surface,diagnostic,yes,,,,mo_atm2land_memory_class.f90
atmland,q_acoef,2D,surface,diagnostic,yes,,,,mo_atm2land_memory_class.f90
